===Database jl2123

== Table structure for table country_wanted_person

|------
|Column|Type|Null|Default
|------
|//**id**//|int(11)|No|
|country_id|int(11)|No|
|wanted_person_id|int(11)|No|
== Dumping data for table country_wanted_person

|60|1|1
|61|1|2
|62|6|3
|63|1|3
|64|1|4
|65|1|5
|66|2|6
|67|50|6
|68|2|7
|69|2|8
|70|2|9
|71|2|10
|72|3|11
|73|3|12
|74|3|13
|75|3|14
|76|3|15
|77|4|16
|78|4|17
|79|4|18
|80|45|18
|81|4|19
|82|4|20
|83|5|21
|84|5|22
|85|5|23
|86|5|24
|87|5|25
|88|6|26
|89|6|27
|90|6|28
|91|6|29
|92|6|30
|93|1|31
|94|1|32
|95|1|33
|96|1|34
|97|1|35
|98|33|35
|99|2|36
|100|2|37
|101|2|38
|102|25|38
|103|2|39
|104|2|40
|105|3|41
|106|3|42
|107|19|42
|108|3|43
|109|3|44
|110|3|45
|111|4|46
|112|4|47
|113|4|48
|114|4|49
|115|4|50
